Column1,Column2.1,Column2.2
101 YISHUN CS,101 YISHUN AVE 5, 760101
106 FOOD ALLIANCE,106 HOUGANG AVE 1, 530106
112 BUKIT MERAH MARKET & FOOD CENTRE,112 JALAN BUKIT MERAH, 160112
115 BUKIT MERAH VIEW MARKET AND HAWKER CENTRE,115 BUKIT MERAH VIEW, 151115
115 FOOD VILLAGE,115 CANBERRA WALK, 750115
116 FOOD FARM,116 BUKIT MERAH VIEW, 151116
121 BREW KOPI BY BEST CAFÉ,121 GEYLANG EAST CENTRAL, 380121
121 RESERVOIR KOPI POINT,121 BEDOK RESERVOIR RD, 470121
123 EATING HOUSE,123 YISHUN ST 11, 760123
123 RESTAURANT,101 PANDAN LOOP, 126904
128 BEDOK FOOD HOUSE,128 BEDOK NORTH ST 2, 460128
128 CHOICES,128 LORONG 1 TOA PAYOH, 310128
150 BUKIT BATOK COFFEESHOP,150 BUKIT BATOK ST 11, 650150
151 COFFEE & TEA,151 SERANGOON NORTH AVE 2, 550151
152A SERANGOON NORTH MARKET,152A SERANGOON NORTH AVE 1, 551152
154 SERANGOON WET MARKET,154 SERANGOON NORTH AVE 1, 550154
154A BUKIT BATOK,154A BUKIT BATOK WEST AVE 8, 651154
156 BUKIT BATOK WET MARKET,156 BUKIT BATOK ST 11, 650156
156 EATING HOUSE,156 YISHUN ST 11, 760156
158 FOOD HOUSE,158 YUNG LOH RD, 610158
168 COFFEESHOP,168 BEDOK SOUTH AVE 3, 460168
18 BREWCOFFEE,18 BEDOK SOUTH RD, 460018
183 FOODCOURT,183 TOA PAYOH CENTRAL, 310183
1868 COFFEE HOUSE,713 CLEMENTI WEST ST, 120713
1ST STOP FOOD JUNCTION,3014 UBI RD1, 408702
203 FOODCOURT,203 TOA PAYOH NORTH, 310203
206 MANAGEMENT FOOD COURT,206 TOA PAYOH NORTH, 310206
21 STREET EATING HOUSE,201 TAMPINES ST 21, 520201
215 AMK COFFEE SHOP,215 ANG MO KIO AVE 1, 560215
226 EATING HOUSE,226F ANG MO KIO AVE 1, 566226
22A HAVELOCK ROAD FOOD CENTRE,22A HAVELOCK RD, 161022
22B HAVELOCK ROAD FOOD CENTRE,22B HAVELOCK RD, 162022
25 BREW COFFEE PTE LTD,25 NEW UPPER CHANGI RD, 460025
252 FOOD COURT,252 JURONG EAST ST 24, 600252
257 BANGKIT COFFEE HOUSE,257 BANGKIT RD, 670257
26 EATING HOUSE,68 GEYLANG BAHRU, 330068
26 FOOD LOFT,26 JALAN MEMBINA, 161026
267 WET MARKET,267 SERANGOON AVE 3, 550267
276 CAFE,276 JURONG WEST ST 25, 640276
301 UBI FOOD HOUSE,301 UBI AVE 1, 400301
3014 FOODLOFT,3014 UBI RD 1, 408702
304 WOODLANDS WET MARKET,304 WOODLANDS ST 31, 730304
328 FOOD HOUSE,328 CLEMENTI AVE 2, 120328
350 UBI COFFEESHOP,350 UBI AVE 1, 400350
378 FOOD HOUSE,378 CLEMENTI AVE 5, 120378
3838 EATING PLACE,269 QUEEN ST, 180269
409 ANG MO KIO MARKET AND FOOD CENTRE,409 ANG MO KIO AVE 10, 560409
418 NATURE PARK,418 BEDOK NORTH AVE 2, 460418
429A CHOA CHU KANG COFFEESHOP,429A CHOA CHU KANG AVE 4, 681429
443 AMK EATING HOUSE,443 ANG MO KIO AVE 10, 560443
446 FNB PTE LTD,446 PASIR RIS DR 6, 510446
46 CTK EATING HOUSE,46 HOLLAND DR, 270046
465 FOOD COURT PTE LTD,465 NORTH BRIDGE RD, 191465
473 COFFEESHOP,473 FERNVALE ST, 790473
476 FOOD LOFT,476 TAMPINES ST 44, 520476
493 WET MARKET,493 JURONG WEST ST 41, 640493
497 JURONG WEST WET MARKET,497 JURONG WEST ST 41, 640497
5 DOVER CRESCENT CS,5 DOVER CRES, 130005
503 FOODCOURT PTE LTD,503 JURONG WEST AVE 1, 640503
504 TAMPINES WET MARKET,504 TAMPINES CENTRAL 1, 520504
50A MARINE TERRACE MARKET,50A MARINE TERRACE, 441050
51 FOOD LOFT,51 HAVELOCK RD, 161051
51 OLD AIRPORT ROAD FOOD CENTRE,51 OLD AIRPORT RD, 390051
515 LUN JI,515 BEDOK NORTH AVE 2, 460515
548 WOODLANDS WET MARKET,548 WOODLANDS DR 44 V, 730548
5G RESTAURANT,108 ANG MO KIO AVE 4, 560108
6 @ HOLLAND,6 HOLLAND CLOSE, 271006
632 YISHUN CS,632 YISHUN ST 61, 760632
681 FRESH MARKET,681 HOUGANG AVE 8, 530681
688 EATING HOUSE,688 WOODLANDS DR, 730688
69 GEYLANG BAHRU MARKET AND FOOD CENTRE,69 GEYLANG BAHRU, 330069
7 STARS (105),105 CANBERRA ST, 750105
7 STARS (210),210 HOUGANG ST 21, 530210
7 STARS (23 HOUGANG),23 HOUGANG AVE 3, 530023
7 STARS (28),28 DOVER CRES, 130028
7 STARS (3014 BEDOK),3014 BEDOK IND PARK E, 489980
7 STARS (312A),312A SUMANG LINK, 821312
7 STARS (338 ANCHORVALE),338 ANCHORVALE CRES, 540338
7 STARS (498 JURONG WEST),498 JURONG WEST ST 41, 640498
7 STARS (693 WOODLANDS),693 WOODLANDS AVE 6, 730693
7 STARS (810 CCK),810 CHOA CHU KANG AVE 7, 680810
7 STARS (85 DAWSON),85 DAWSON RD, 141085
7 STARS COFFEE SHOP,1 YISHUN ST 23, 768441
71 SENG POH ROAD CS,71 SENG POH RD, 160071
717 FOOD LOFT,717 YISHUN ST 71, 760717
721 FOODLOFT,721 ANG MO KIO AVE 8, 560721
724 ANG MO KIO FOOD CENTRE,724 ANG MO KIO AVE 6, 560724
726 WEST COAST MARKET SQUARE,726 CLEMENTI WEST ST 2, 120726
777 EATING HOUSE,630 YISHUN ST 61, 760630
79 CIRCUIT ROAD FOOD CENTRE,79 CIRCUIT RD, 370079
79 TELOK BLANGAH DRIVE MARKET AND FOOD CENTRE,79 TELOK BLANGAH DR, 100079
79A CIRCUIT ROAD FOOD CENTRE,79A CIRCUIT RD, 371079
7TH MILE COFFEE SHOP,18 TOH YI DR, 590018
8 PLUS FOOD HOUSE (8),8 LORONG 7 TOA PAYOH, 310008
8 PLUS FOOD HOUSE (95),95 LORONG 4 TOA PAYOH, 310095
8 PLUS FOOD HOUSE (TPY LOR 7),8 LORONG 7 TOA PAYOH, 310008
80'S CORNER COFFEESHOP,80 MARINE PARADE CENTRAL, 440080
82 TELOK BLANGAH DRIVE MARKET AND FOOD CENTRE,82 TELOK BLANGAH DR, 100082
829 FOOD COURT,829 TAMPINES ST 81, 520829
834 EATING HOUSE,834 WOODLANDS ST 83, 730834
84 MARINE PARADE CENTRAL HAWKER CENTRE,84 MARINE PARADE CENTRAL, 440084
85 FENGSHAN CENTRE,85 BEDOK NORTH ST 4, 460085
86 FOODCOURT,86 WHAMPOA DR, 320086
861 NORTH BRIDGE ROAD MARKET AND FOOD CENTRE,861 NORTH BRIDGE RD, 198783
87 FOOD STREET,87 BEDOK NORTH ST 4, 460087
883 WOODLANDS WET MARKET,883 WOODLANDS ST 82, 730883
89.7 SUPPER CLUB,1016 GEYLANG EAST AVE, 389731
89.7 SUPPER CLUB,5 CHANGI VILLAGE RD, 500005
94 EATING HOUSE,654 YISHUN AVE 4, 760054
AA RESTAURANT,14 TUAS AVE 1, 639499
AB FOOD COURT,3 CHANGI SOUTH AVE 4, 486116
ABC BRICKWORKS FOOD CENTRE,6 JALAN BUKIT MERAH, 150006
ABC EATING HOUSE,201D TAMPINES ST 21, 524201
ABUNDANCE EATING HOUSE,413 BUKIT BATOK WEST AVE 4, 650413
ACES LEAGUE,31 HOLLAND CLOSE, 270031
ACX FOOD COURT (SHIFU COFFEE SHOP),302 UBI AVE 1, 400302
ADAM FOOD CENTRE,2 ADAM RD, 289876
ADMIRALTY WET MARKET,678A WOODLANDS AVE 6, 731678
AH CHIANG PORRIDGE,65 TIONG POH RD, 160065
AIR PASANG COFFEESHOP,374 BUKIT BATOK ST 31, 650374
AISA RESTAURANT,39 TEBAN GARDENS RD, 600039
AL AHAMED BRIYANI HOUSE,326 SERANGOON AVE 3, 550326
AL MUBIN FOOD COURT,418 BEDOK NORTH AVE 2, 460418
AL MUFIZ FOOD CENTRE,632 BUKIT BATOK CENTRAL, 650632
ALBERT CENTRE FOOD CENTRE,270 QUEEN ST, 180270
ALEXANDRA VILLAGE FOOD CENTRE,120 BUKIT MERAH LN 1, 150120
ALIS PRATA PTE LTD,136 BEDOK RESERVOIR RD, 470136
ALJUNIED AVENUE 2 MARKET AND FOOD CENTRE,117 ALJUNIED AVE 2, 380117
ALL FAMILY FOODCOURT,259 PASIR RIS ST 21, 510259
AMK 232 FOODHOUSE,232 ANG MO KIO AVE 3, 560232
AMOY STREET FOOD CENTRE,7 MAXWELL RD, 069111
ANG CHOON HUAT EATING HOUSE,339 ANG MO KIO AVE 1, 560339
ANG MO KIO 628 FOOD CENTRE,628 ANG MO KIO AVE 4, 560628
AUTHENTIC HOUSE OF BRAISED DUCK,4 UPPER ALJUNIED LN, 360004
AUTOBAY KOPI PLACE,1 KAKI BUKIT AVE 6, 417883
AYER RAJAH FOOD CENTRE,503 WEST COAST DR, 120503
AYER RAJAH MARKET,502 WEST COAST DR, 120502
AYZA'S RESTAURANT,508 JURONG WEST ST 52, 640508
BADALING (155),155 BUKIT BATOK ST 11, 650155
BADALING (207),207 BUKIT BATOK ST 21, 650207
BADALING (257),257 BANGKIT RD, 670257
BADALING (416),416 PANDAN GARDENS, 600416
BADALING (449),449 CLEMENTI AVE 3, 120449
BADALING (506),506 BUKIT BATOK ST 52, 650506
BADALING (526),526 JURONG WEST ST 52, 640526
BADALING (573),573 WOODLANDS DR 16, 730573
BADALING (635C),635C SENJA RD, 673635
BADALING (851),851 JURONG WEST ST 81, 640851
BADALING (AMK 347),347 ANG MO KIO AVE 3, 560347
BADALING (AMK 446),446 ANG MO KIO AVE 10, 560446
BADALING (BUKIT BATOK 233),233 BUKIT BATOK EAST AVE 5, 650233
BADALING (CHAI CHEE 36),36 CHAI CHEE AVE, 461036
BADALING (NEW UPP CHANGI 59),59 NEW UPPER CHANGI RD, 461059
BADALING (SERANGOON 326),326 SERANGOON AVE 3, 550326
BADALING (WOODLANDS 167),167 WOODLANDS ST 11, 730167
BAI SHENG FOOD COURT,888 WOODLANDS DR 50, 730888
BAN KEE GUAN,5 JALAN MINYAK, 161005
BANANA FNB PTE LTD,1 BEACH RD, 190001
BB289 FOOD HOUSE,289H BUKIT BATOK ST 25, 657289
BEDOK 538 MARKET N FOOD CENTRE,538 BEDOK NORTH ST 3, 460538
BEDOK FOOD CENTRE,1 BEDOK RD, 469572
BEDOK INTERCHANGE HAWKER CENTRE,208B NEW UPPER CHANGI RD, 462208
BEE HWA YUN,177 TOA PAYOH CENTRAL, 310177
BEE KEONG RESTAURANT,5058 ANG MO KIO IND PARK 2, 569561
BELIEVE CATERING,51 CIRCUIT RD, 370051
BENDEMEER FOOD CENTRE,29 BENDEMEER RD, 330029
BEO CRESCENT FOOD CENTRE,38A BEO CRES, 169982
BERSEH FOOD CENTRE,166 JALAN BESAR, 208877
BEST CAFÉ,291 YISHUN ST 22, 760291
BEST COFFEESHOP,959 JURONG WEST ST 92, 640959
BESTASSET PROPERTIES INVESTMENT PTE LTD,17 BEACH RD, 190017
BGAIN 10 EATING HOUSE,10 TELOK BLANGAH CRES, 090010
BGAIN 107 EATING HOUSE,107 SERANGOON NORTH AVE 1, 550107
BGAIN 121 EATING HOUSE,121 HOUGANG AVE 1, 530121
BGAIN 130 EATING HOUSE,130 JURONG GATEWAY RD, 600130
BGAIN 221 EATING HOUSE,221 BOON LAY PLACE, 640221
BGAIN 261 EATING HOUSE,261 WATERLOO ST, 180261
BGAIN 293 EATING HOUSE,293 YISHUN ST 22, 760293
BGAIN 463 EATING HOUSE,463 SEMBAWANG DR, 750463
BGAIN 630 EATING HOUSE,630 ANG MO KIO AVE 4, 560630
BGAIN 681 EATING HOUSE,681 HOUGANG AVE 8, 530681
BGAIN 91 EATING HOUSE,91 TELOK BLANGAH ST 31, 100091
BISHAN CAFETERIA,514 BISHAN ST 13, 570514
BISTRO 8,31 KELANTAN LN, 200031
BISTRO 8,442 CLEMENTI AVE 3, 120442
BK KALLANG,63 KALLANG BAHRU, 330063
BLK 90 WHAMPOA MAKAN PLACE,90 WHAMPOA DR, 320090
BLK 91 WHAMPOA MAKAN PLACE,91 WHAMPOA DR, 320091
BLK 92 WHAMPOA MAKAN PLACE,92 WHAMPOA DR, 320092
BLOCK 511 MARKET AND FOOD CENTRE,511 BEDOK NORTH ST 3, 460511
BOON LAY PLACE FOOD VILLAGE,221B BOON LAY PLACE, 642221
BOON LAY PLACE MARKET,221A BOON LAY PLACE, 641221
BOON LEE EATING HOUSE,86 BEDOK NORTH ST 4, 460086
BREW CAFÉ,326 WOODLANDS ST 32, 730326
BREW CAFÉ 171,171 YISHUN AVE 7, 760171
BROADWAY (115C),115C ALKAFF CRES, 343115
BROADWAY (147),147 POTONG PASIR AVE 1, 350147
BROADWAY (155),155 BUKIT BATOK ST 11, 650155
BROADWAY (19),19 MARSILING LN, 730019
BROADWAY (286),286E TOH GUAN RD, 605286
BROADWAY (334A),334A SEMBAWANG CLOSE, 751334
BROADWAY (414),414 YISHUN RING RD, 760414
BROADWAY (60),60 GUL LN, 629437
BROADWAY (612),612 PUNGGOL DR, 820612
BROADWAY (644),644 HOUGANG AVE 8, 530644
BROADWAY (668A),668A CHOA CHU KANG CRES, 681668
BROADWAY (682),682 HOUGANG AVE 4, 530682
BROADWAY (727),727 ANG MO KIO AVE 6, 560727
BROADWAY (760),760 BEDOK RESERVOIR VIEW, 470760
BROADWAY (760A),760A BEDOK RESERVOIR VIEW, 471760
BROADWAY (848),848 YISHUN ST 81, 760848
BROADWAY (883),883 WOODLANDS ST 82, 730883
BROADWAY 431,431 YISHUN AVE 1, 760431
BROADWAY COFFEESHOP,610 TAMPINES NORTH DR 1, 520610
BUKIT CANBERRA HAWKER CENTRE,21 CANBERRA LINK, 752350
BUKIT MERAH CENTRAL FOOD CENTRE,163 BUKIT MERAH CENTRAL, 150163
BUKIT PANJANG HAWKER CENTRE AND MARKET,2 BUKIT PANJANG RING RD, 679947
BUKIT TIMAH MARKET AND FOOD CENTRE,51 UPPER BUKIT TIMAH RD, 588215
CCK 302 FOODHOUSE,302 CHOA CHU KANG AVE 4, 680302
CHAI HOCK EATING HOUSE,73 LORONG 4 TOA PAYOH, 310073
CHANG CHENG,293 YISHUN ST 22, 760293
CHANG CHENG,682 HOUGANG AVE 4, 530682
CHANG CHENG (109),109 BUKIT BATOK WEST AVE 6, 650109
CHANG CHENG (111),111 TOA PAYOH LORONG 1, 310111
CHANG CHENG (12),12 TELOK BLANGAH CRES, 090012
CHANG CHENG (126),126 LORONG 1 TOA PAYOH, 310126
CHANG CHENG (136),136 MARSILING RD, 730136
CHANG CHENG (166),166 WOODLANDS ST 13, 730166
CHANG CHENG (201),201C TAMPINES ST 21, 523201
CHANG CHENG (211),211 NEW UPPER CHANGI RD, 460211
CHANG CHENG (269),269 QUEEN ST, 180269
CHANG CHENG (27),27 BENDEMEER RD, 330027
CHANG CHENG (324),324 BUKIT BATOK ST 33, 650324
CHANG CHENG (373),373 BUKIT BATOK ST 31, 650373
CHANG CHENG (40),40 HOLLAND DR, 270040
CHANG CHENG (498),498 JURONG WEST ST 41, 640498
CHANG CHENG (59),59 MARINE TERRACE, 440059
CHANG CHENG (75D),75D REDHILL RD, 154075
CHANG CHENG (802),802 TAMPINES AVE 4, 520802
CHANG CHENG (803),803 KING GEORGE'S AVE, 200803
CHANG CHENG (82),82 WHAMPOA DR, 320082
CHANG CHENG (866A),866A TAMPINES ST 83, 521866
CHANG CHENG MEE WAH,354 CLEMENTI AVE 2, 120354
CHANG CHENG MEE WAH COFFEESHOP,818 CHOA CHU KANG AVE 1, 680818
CHANG LONG COFFEESHOP,122 BEDOK NORTH ST 2, 460122
CHANGI VILLAGE HAWKER CENTRE,2 CHANGI VILLAGE RD, 500002
CHENG SAN MARKET & COOKED FOOD CENTRE,527 ANG MO KIO AVE 10, 560527
CHIN BEE FNB,143 TECK WHYE LN, 680143
CHIN SIN HUAN EATING HOUSE,7 JALAN BATU, 431007
CHINATOWN COMPLEX FOOD CENTRE,335 SMITH ST, 050335
CHOH DEE PLACE,824 TAMPINES ST 81, 520824
CHOH DEE PLACE (KIMLY),233 YISHUN ST 21, 760233
CHOICE (215),215 JURONG EAST ST 21, 600215
CHOMP CHOMP FOOD CENTRE,20 KENSINGTON PARK RD, 557269
CHONG BOON MARKET & FOOD CENTRE,453A ANG MO KIO AVE 10, 561453
CHONG HOCK EATING HOUSE,18 GUL ST 3, 629270
CHONG HOCK PTE LTD,71 TUAS AVE 1, 639511
CHONG PANG MARKET,104 YISHUN RING RD, 760104
CHONG PANG MARKET & FOOD CENTRE,105 YISHUN RING RD, 760105
CHOON GUAN COFFEE SHOP,21 OLD AIRPORT RD, 390021
CHOP FUNG LIK RESTAURANT,5023 ANG MO KIO IND PARK 2, 569526
CHUN TAT KEE,306A WOODLANDS ST 31, 731306
CHUNG LIM WET MARKET,151A BISHAN ST 11, 571151
CI YUAN HAWKER CENTRE,51 HOUGANG AVE 9, 538776
CIRCUIT ROAD MARKET AND FOOD CENTRE,80 CIRCUIT RD, 370080
CITY FOOD COURT,27 BENDEMEER RD, 330027
CLEMENTI 448 FOOD CENTRE,448 CLEMENTI AVE 3, 120448
CLEMENTI 881 COFFEE STATION,345 CLEMENTI AVE 5, 120345
CLEMENTI AVE 2 MARKET & FOOD CENTRE,353 CLEMENTI AVE 2, 120353
CNT CAFEE PTE LTD,704 BEDOK RESERVOIR, 470704
COFFEE AND TEA,159 ANG MO KIO AVE 4, 560159
COFFEE AND TEA,78A TELOK BLANGAH ST 32, 101078
COFFEE EXPRESS 2000,443 PASIR RIS DR 6, 510443
COFFEE EXPRESS 2000 (231),231 BAIN ST, 180231
COFFEE SENSE,181 ANG MO KIO AVE 5, 560181
COFFEE UNITED,325 WOODLANDS ST 32, 730325
COFFEE UNITED (496),496 JURONG WEST ST 41, 640496
COLA FOOD,260 ANG MO KIO ST 21, 560260
COLA FOOD (570A),570A WOODLANDS AVE 1, 731570
COMMONWEALTH CRESCENT MARKET AND FOOD CENTRE,31 COMMONWEALTH CRES, 149644
CU COFFEE UNITED,78C TOA PAYOH CENTRAL, 313078
CU FNB PTE LTD,122 ANG MO KIO AVE 3, 560122
DE TIAN,46 TELOK BLANGAH DR, 100046
DE TIAN,570A WOODLANDS AVE 1, 731570
DE TIAN,631 ANG MO KIO AVE 4, 560631
DE TIAN,915 TAMPINES ST 91, 520915
